Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,adi_epi_1,adi_epi_2,adi_epi_3,adi_ing_1,adi_ing_2,adi_ing_3,adi_peri_1,adi_peri_2,adi_peri_3,adi_retro_1,adi_retro_2,adi_retro_3,adi_ibat_1,adi_ibat_2,adi_ibat_3,svf_epi_1,svf_epi_2,svf_epi_3,svf_ing_1,svf_ing_2,svf_ing_3,svf_peri_1,svf_peri_2,svf_peri_3,svf_retro_1,svf_retro_2,svf_retro_3,svf_ibat_1,svf_ibat_2,svf_ibat_3
12.97_891.7062m/z,,891.7062187,1,12.96658333,0.231766667,5,0,0,Infinity,Condition 1,Condition 8,100 - 53,1050776.919,11.28,1457029.402,1045167.044,1203107.051,790247.6877,966855.4691,1148961.772,348461.7182,1082333.522,1134576.126,357454.8605,284317.1999,430019.2274,388329.2064,350225.6424,602780.7357,28040.17957,30265.1925,45764.07503,1595.227219,12788.81429,14565.68284,0,0,0,0,0,0,2177.843094,538.069397,11499.7321
14.82_1073.0191m/z,,1073.019094,1,14.81876667,0.170266667,3,0,0,Infinity,Condition 5,Condition 6,100 - 72.4 - 43.5 - 15.3,604057.664,5.41,58002.3038,58138.1917,25982.89834,77341.4155,67966.53258,69501.80243,19552.84054,147039.2515,168214.9661,80718.65484,118498.6998,91623.42928,568566.3687,723193.9125,704356.3968,0,0,0,0,0,0,0,0,0,0,0,0,1453.515457,2089.607452,6937.232114
13.91_695.5719m/z,,695.5718896,1,13.91111667,0.348266667,7,0,0,Infinity,Condition 8,Condition 1,100 - 49 - 5.83,413154.8662,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176277.5985,247166.9177,197334.269,299413.1919,261928.8302,366020.9621,418855.9797,362189.8897,326798.4748,307330.0429,396134.6283,378472.2883,90695.37015,128879.6953,3287.852356
13.71_688.6003m/z,,688.6003472,1,13.71133333,0.358,1,0,0,Infinity,Condition 9,Condition 1,100 - 44.6 - 2.4,379915.6361,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189887.5227,270844.1675,208462.1548,334933.5301,259400.8707,357365.3312,378899.0257,319280.5334,310543.4117,344048.0069,347306.2431,332880.2108,107549.7743,160432.6199,11601.76251
12.61_915.7003m/z,,915.7002974,1,12.6136,0.110016667,2,0,0,Infinity,Condition 1,Condition 6,100 - 78 - 32.7,160858.8933,21.74,229146.3697,136202.7344,201447.5052,69841.35383,115924.3311,127909.5893,9126.69977,62990.36844,63897.27248,4962.911211,725.2041616,3530.653671,1405.433563,931.7458576,1075.334412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.93_810.6579m/z,,810.6579455,1,12.93351667,0.149016667,7,0,0,Infinity,Condition 1,Condition 6,100 - 46.9,157491.8702,17.37,313994.5585,218171.4903,52346.17621,132945.1339,63697.05928,74879.04778,21796.29612,148207.374,204846.0396,156392.9559,63727.56364,101680.9324,130093.3849,136678.6164,185877.2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.35_863.5110m/z,,863.5109859,1,10.34578333,0.320483333,1,0,0,Infinity,Condition 5,Condition 6,100 - 52.4 - 6.01,157379.709,2.75,33171.56958,45949.74981,38479.58918,48388.43748,53971.68269,67342.53686,48459.03481,44720.68854,39974.51386,52949.12777,54803.72685,53087.99593,178669.2072,176959.8091,163797.0017,0,0,0,207.1908056,153.5107355,344.458544,0,0,0,0,0,0,10217.11139,9982.814333,177229.3629
13.37_894.6783m/z,,894.6782877,1,13.36801667,0.109033333,3,0,0,Infinity,Condition 1,Condition 6,100 - 57.1,129303.1418,26.09,228027.6265,139406.3712,101682.458,118024.372,79760.64684,68199.2821,35833.28278,119872.3767,112791.5001,35994.70996,24516.13389,17115.3846,11753.80362,11313.5552,34839.77294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.91_1367.0457m/z,,1367.045679,1,11.91135,0.093333333,1,0,0,Infinity,Condition 5,Condition 6,100 - 87.1 - 30.8,125132.1803,13.95,12103.09637,61595.57196,27093.50623,70727.78715,65065.36553,89272.22443,93201.17702,77589.92313,110335.4798,111404.0072,130985.8373,101561.8131,143685.8566,152606.8907,115983.1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.12_1034.9081m/z,,1034.908115,1,14.12183333,0.081883333,24,0,0,Infinity,Condition 5,Condition 6,100 - 71.2,122594.4682,29.28,67944.93258,29666.55212,15763.39032,19617.31381,11416.31348,6126.413879,16368.57056,61539.38668,100484.4346,27470.05542,45991.05887,52018.4356,94984.29016,174577.4055,134877.8815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.83_851.7188m/z,,851.7187697,1,13.83188333,0.110433333,51,0,0,Infinity,Condition 1,Condition 6,100,118873.9841,10.79,150255.3311,149987.6133,117890.7112,118035.3357,51415.85693,75789.04053,23494.30273,11372.83472,18964.44568,12772.47729,3816.69043,3280.623535,7616.222656,5206.365234,17775.09961,0,0,0,0,0,0,0,0,0,0,0,0,8964.38739,4646.976746,8484.146118
13.23_660.5696m/z,,660.569637,1,13.2257,0.1375,1,0,0,Infinity,Condition 4,Condition 6,100 - 33.3,114261.7475,2.25,73400.35355,73170.1134,33334.43154,66281.24513,64691.42007,73268.53314,106102.1606,107689.0771,105656.3739,111107.6023,113303.8529,119922.6626,101962.7863,104722.0008,70381.17046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445626013
